ts,price,volume
2026-01-24 08:01:31.649000+00:00,89478.74850105292,39013434397.49431
2026-01-24 09:01:31.927000+00:00,89523.78293093774,37563294053.719765
2026-01-24 10:03:12.643000+00:00,89455.59503931853,36219491987.6343
2026-01-24 11:02:03.192000+00:00,89484.7895356904,35515919556.38537
2026-01-24 12:03:06.427000+00:00,89448.84697346053,34711124925.61588
2026-01-24 13:00:16.517000+00:00,89388.91847170272,34574745070.48804
2026-01-24 14:02:58.456000+00:00,89135.98941900356,34672000597.51981
2026-01-24 15:04:51.539000+00:00,89310.03342477125,31423555631.097332
2026-01-24 16:01:45.747000+00:00,89139.94772071367,29679323231.987007
2026-01-24 17:02:20.973000+00:00,89137.79657995072,27022925148.306503
2026-01-24 18:01:37.639000+00:00,89247.24438495889,24187733171.164112
